   1      0.4459
   2      0.8908
   3      0.9312
   4      0.9489
   5      1.0000
   6      1.0000
   7      1.0000
   8      1.0000
   9      1.0000
  10      1.0000
  11      1.0000
  12      1.0000
  13      1.0000
  14      1.0000
  15      1.0000
  16      1.0000
  17      1.0000
  18      1.0000
  19      0.9120
  20      0.8106
  21      0.8899
  22      1.0000
  23      1.0000
  24      0.8274
  25      0.9004
  26      0.8628
  27      1.0000
  28      0.9335
  29      1.0000
  30      0.9998
  31      0.9994
  32      1.0000
  33      1.0000
  34      1.0000
  35      1.0000
  36      1.0000
  37      1.0000
  38      0.9018
  39      1.0000
  40      1.0000
  41      1.0000
  42      1.0000
  43      0.8899
  44      0.8615
  45      0.7558
  46      0.7775
  47      1.0000
  48      0.9371
  49      0.9276
  50      0.9658
